"id_draw","AdGrowth_Exp_Rate_1_to_6_D","AdGrowth_Exp_Rate_1_to_6_P","AdGrowth_Exp_Rate_1_to_6_R","AdGrowth_Exp_Rate_6_to_10_D","AdGrowth_Exp_Rate_6_to_10_P","AdGrowth_Exp_Rate_6_to_10_R","AdNaturalHistoryPropensity_Gaussian_Variance","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Rate_R","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Shape_R","IndividuakRiskMultVariance","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_R","alpha_lesion_adenoma","beta_age","hr_SxDetS2S1_D","hr_SxDetS2S1_P","hr_SxDetS2S1_R","hr_SxDetS3S2_D","hr_SxDetS3S2_P","hr_SxDetS3S2_R","hr_SxDetS4S3_D","hr_SxDetS4S3_P","hr_SxDetS4S3_R","pSxDetS1_D","pSxDetS1_P","pSxDetS1_R","lp__","chain"
22,0.0312888641241989,0.0349167136833429,0.124148577798842,0.0682296977888937,0.0267439838662333,0.0376865859181263,0.478316600294026,0.00122343777697422,0.00126816476794452,0.00221583366312752,0.0230197070071516,0.0244529284264992,0.031164702374122,0.754686826960304,0.216284929108958,0.188570311318172,0.15534647249921,0.235470029821732,0.104167291160124,0.144607622066441,0.633447425952069,0.375100626510798,0.633596948534801,-6.15646141216867,0.0318705885736818,6.0971894181778,6.79286220980413,3.73156966094379,6.94382377771197,11.3013523083658,26.9847648878654,1.01164651436342,1.04131958302655,1.00023876285211,0.020868511866945,0.00877525228156104,0.0139779001621312,-248.070452906769,1
23,0.0230585988783678,0.061856373812368,0.0527478284233019,0.0685007557521236,0.0144947047795542,0.0395871302370468,0.472006263661759,0.00108969131095897,0.00143762621234801,0.00204387807373813,0.0234441717953912,0.0239791102956154,0.0314683253910196,0.776986559904885,0.210958097494594,0.144214110529719,0.172794791954343,0.261411052442493,0.100045738685943,0.142196531214482,0.615955829073497,0.406405016236129,0.544246439216628,-6.16104213055546,0.0340260141670969,6.86641697712744,6.90537017775442,3.93208587783779,6.17840166869384,11.3984733280491,25.16975845536,1.00326977271968,1.01397786367727,1.00898833827836,0.0208717466432318,0.00847739178327366,0.0137194525481369,-237.231555533324,1
24,0.0218625114711097,0.0291722708676153,0.120938780747136,0.142844279872099,0.0258899043979379,0.0377413216627245,0.480179047617565,0.00101984522528287,0.00153017859894483,0.00217654567546153,0.0259384441389242,0.0233362348228634,0.0308664648103366,0.756743980794235,0.21566353282662,0.151836739673904,0.156071222002739,0.239117626383388,0.100780412482409,0.147557126516359,0.591117078653212,0.372613809700135,0.561258402129361,-6.16820710102,0.032406151304666,6.30067561338414,6.01692905228592,3.66802869984333,6.83671242726544,11.5314022000685,26.8018839377899,1.07982896253745,1.03651389799733,1.01362235732575,0.0205266336144637,0.00898376462792343,0.0139226446786692,-244.787439155801,1
25,0.0229510935075015,0.052362266829605,0.0612301006638094,0.0882496327788529,0.013829738528177,0.0377380316947434,0.497532597735481,0.00109457376053694,0.00178323770814531,0.00202087739122982,0.0230635297218282,0.0230821362002416,0.0306349846866061,0.754391990212331,0.235060036594293,0.140896521916578,0.150631381489522,0.28735190683453,0.0988889143240059,0.17481490732018,0.5868067719034,0.399393244993679,0.730856725084439,-6.23329529905181,0.0349287771097879,6.97662074529303,6.31308149329303,4.87909302242257,6.17278695240156,11.291507892224,25.5845071768235,1.00215282525046,1.00150296294074,1.05574147971244,0.0208518653524478,0.00875868918457342,0.0139610825025968,-242.299717852371,1
26,0.022176990167335,0.0469605169590235,0.0986180452801481,0.200493684971841,0.0189139209965093,0.0374479469119939,0.478962082368571,0.00123403125881501,0.00239192121873667,0.00251091911220104,0.0238495783256849,0.020613924608541,0.0308898238739528,0.753526561662558,0.245341628071874,0.108150819380534,0.173180519343962,0.256696562336694,0.0932955118108052,0.185298476418471,0.626451516456699,0.409727909914226,0.687636920600064,-6.53841197362692,0.0376963356994054,6.83871999175133,6.48427328335325,4.94389408115818,6.35227274681306,11.8696892248276,25.0898452555005,1.06765164653888,1.00979466475477,1.02104015976377,0.0208154365941497,0.00836657053896536,0.0132733919623451,-247.2476268922,1
27,0.0211524537345952,0.0614556594817593,0.0631334973543924,0.0737399092721599,0.0144827861249417,0.0409020538386459,0.491447624598659,0.00105350258267994,0.00171954160301528,0.0020623817203727,0.0242380699067422,0.0220176361971009,0.030585248404916,0.756033169391263,0.23846763900657,0.129251344884109,0.149560913987284,0.259981693464515,0.0989179193581095,0.13493295910606,0.611678945321904,0.419412972024561,0.547303367593948,-6.1593822300407,0.0336167944645675,6.86841870519045,6.67074927305147,3.44369035406788,6.31289438132934,11.4276855675982,26.3813653643269,1.00712807714425,1.05346721389679,1.08785487878992,0.0206300742834149,0.00875818700459984,0.0137485859860661,-241.205006312241,1
28,0.0227717602256723,0.0384547819383743,0.0536951639349224,0.0761098791964843,0.0140114888884466,0.0379252795303044,0.476518056840365,0.00103911577498856,0.00204245073324251,0.00259805222694875,0.0250900505091171,0.0228988244032782,0.0314356312682448,0.787043705526463,0.25477982907711,0.142775423995609,0.151260487236542,0.273616280603311,0.1117471426552,0.151853340966396,0.632737839143622,0.451276666597577,0.569924542153588,-6.16434685865553,0.032469819893044,6.90414416553499,6.89500183102245,4.12823882861868,6.25518534072741,11.2133146956421,25.2037906213284,1.00004277100264,1.07033228537284,1.06596616345041,0.0209784711785467,0.0089794945927867,0.0137030534090475,-249.032961773656,1
29,0.0230392902426079,0.0356598529799488,0.0981539530503806,0.0607862342245109,0.0245339270397778,0.0395345004182191,0.497044647174716,0.00168402253921295,0.00156557653739626,0.00225270523155582,0.0216158394886618,0.0237249619782287,0.0302889468358419,0.754785944011573,0.235160481051077,0.184157169268889,0.178307047415108,0.259561353115948,0.0970198201778193,0.162826484786976,0.62396522619064,0.344941422830603,0.629139957549395,-6.33991227674194,0.0349102265022243,6.50874380647346,6.13160167024745,4.33057540198634,6.95878275380333,11.0069214361583,26.7527567463825,1.01547330961547,1.0115934930239,1.00057441964508,0.0209303146674502,0.00889285572163222,0.0138942722864443,-244.992900375271,1
30,0.0210306704534239,0.031663136990713,0.109860647277514,0.0479359577149703,0.026602501561657,0.0429499255368778,0.489961610362078,0.00164267659472617,0.0017179173777442,0.00234497844899121,0.0256443863867701,0.0241000094182598,0.0336151765993982,0.753298061747419,0.262691646596922,0.167980204263922,0.15298415523832,0.259861520146392,0.0995946752744331,0.132555628601571,0.604834006944481,0.376579931601355,0.554228523240045,-6.29725745720806,0.0323041743892045,6.68186389211089,6.26091034457432,3.45913593883958,6.43918539438457,11.1240932888225,26.8621088670865,1.07174033498111,1.04019595114313,1.00748821339857,0.0205232913761124,0.0085221778424398,0.0138278299626472,-247.325364445118,1
31,0.025796632226454,0.0652024847317784,0.0619297556735271,0.0887916141187485,0.0141453437461738,0.0369492602353036,0.496370486567794,0.00105803606448313,0.00158452001827869,0.00238773242772545,0.0225391340365431,0.0239685687225393,0.0300127360541769,0.761996861741247,0.232024678426717,0.130764513318224,0.159810261304072,0.266217101437901,0.105914793265248,0.149632405738881,0.640007164703126,0.414197995030355,0.619592683311034,-6.26968788405511,0.0353913864882259,6.83249278570965,6.90992053030441,4.29175101152141,6.67322717045745,11.9845351956974,25.2271801789827,1.0663484329741,1.01072453011672,1.0146368867849,0.0209596102688959,0.00880274178490647,0.0136555830151784,-248.038517111012,1
