"id_draw","IndividuakRiskMultVariance","alpha_lesion_adenoma","beta_age","AdNaturalHistoryPropensity_Gaussian_Variance","AdGrowth_Exp_Rate_1_to_6_P","AdGrowth_Exp_Rate_1_to_6_D","AdGrowth_Exp_Rate_1_to_6_R","AdGrowth_Exp_Rate_6_to_10_P","AdGrowth_Exp_Rate_6_to_10_D","AdGrowth_Exp_Rate_6_to_10_R","PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_R","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Shape_R","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Rate_R","pSxDetS1_P","pSxDetS1_D","pSxDetS1_R","hr_SxDetS2S1_P","hr_SxDetS2S1_D","hr_SxDetS2S1_R","hr_SxDetS3S2_P","hr_SxDetS3S2_D","hr_SxDetS3S2_R","hr_SxDetS4S3_P","hr_SxDetS4S3_D","hr_SxDetS4S3_R","lp__","chain"
312,0.659062727745643,-6.36258837284613,0.0408907753244933,0.485554676149197,0.0125443426597934,0.0145343910801996,0.0412547849665208,0.0126477673680293,0.0644615948602292,0.323474312358821,0.211124152141287,0.295691740208225,0.354376279293282,0.158848208602695,0.346121553070476,0.231929829808017,0.286629736895153,0.495028662959377,0.190589405072401,3.17277231917669e-05,0.00182682773247987,0.00556393139693954,0.0230055883476014,0.00657226155821386,0.00601787186826583,0.0182048806995387,0.0332444993792648,0.0228129413726274,4.45739071239973,5.2809905970602,3.93961497488449,6.22758411988701,4.20614724842473,4.21378537658347,9.58349214326386,9.58178879748767,8.33687247130517,-125.998895607527,1
313,0.747478640622934,-6.45294129673734,0.0416750683360913,0.496209067777135,0.0155347737301672,0.0123460483636895,0.0535883102787051,0.00978538569424432,0.120175400171195,0.317637733073691,0.232434337508455,0.298182710531999,0.338181805228667,0.156650941439943,0.391018468671235,0.241330999344361,0.25959423077963,0.666130950425738,0.217787226859813,1.24428079085507e-05,0.00214988511301861,0.00650719205453004,0.0248605494778671,0.0062457477550392,0.00613963919216759,0.0211351393581971,0.0352505871610694,0.0257401870319679,3.75481988920227,5.70372924361528,3.72337547973032,5.8955057276593,5.2225369756578,4.45481120660026,9.19552356266363,8.84178801073686,8.29326026497078,-136.699260683175,1
314,0.712511318713921,-6.36641262458271,0.0412010371515511,0.497406311084712,0.00671420259208837,0.0107214458407914,0.0350086767554054,0.022217471827264,0.0507910422175282,0.353954629852075,0.207530266758519,0.310232161484766,0.284075405460468,0.14757060374064,0.369139480726675,0.258608665157191,0.243539344350792,0.470344477429062,0.205991580141993,4.2303220619558e-05,0.00255421633679302,0.0045882486380821,0.0249529275984882,0.0075955083993177,0.00542551657020816,0.0190332923703276,0.0361920791723831,0.0226361456189185,4.04147228406345,4.92583728251601,4.17843614035461,6.00052492867622,4.38851113252033,4.50405111040131,9.25870376049353,10.0007058698012,8.80742456940637,-132.224132198535,1
315,0.713009538355113,-6.4461028717726,0.0416082069226246,0.473991029639237,0.0135762607758039,0.0112916561684054,0.0396881927713645,0.0113595987592313,0.108469797329101,0.338112476045474,0.22544611208412,0.31765254553237,0.309688920829686,0.150892270400259,0.393609426604436,0.24961728994321,0.28130686636997,0.600453927412801,0.192554560439645,2.5950344839776e-05,0.00166709232321232,0.00756373926779381,0.026877978153734,0.00709588364832338,0.00439699689278762,0.0192547063762462,0.0374042787140891,0.0229430658401519,4.09823539690644,5.19386013549869,4.05191130356944,6.28013375233003,4.38047086916095,4.21598091738935,8.95032934206297,9.83315350006415,8.42226617168888,-128.835511137394,1
316,0.66622432982249,-6.33023892754426,0.0406516851107963,0.497826840096611,0.0114776097299352,0.0156508582841507,0.0401740260755348,0.0128419284596002,0.0637704763491569,0.302617192756592,0.209153975217244,0.291727862425525,0.32543446612797,0.149324962720967,0.351153301283909,0.25630141833002,0.25293049015883,0.509025180409809,0.221568277258255,4.23237558516078e-05,0.0031668320138496,0.00303593790683788,0.0216338691912861,0.00521463137722251,0.00851200271634198,0.018625598128625,0.0333699515371417,0.0227864219784665,4.13610249222044,5.46637812331976,4.1359294786802,6.11362715760315,4.57854194653928,4.24263816431356,10.1860015582485,8.71024651543648,8.22059943184397,-131.600990998923,1
317,0.708712275795534,-6.39087375025653,0.040452448634482,0.487604323298001,0.00893938474398229,0.0124772385362524,0.0403633762299221,0.0160260235576651,0.146615908978261,0.298192818269176,0.232090773216228,0.312114782411377,0.327254940047218,0.149928285945436,0.396622856219105,0.184709079768292,0.257768685750509,0.608349777393138,0.164981407466331,4.94214966574886e-05,0.00502887006764425,0.00446215851667115,0.0258430362814082,0.00548048174139916,0.00924989215789339,0.0216379969568164,0.0352439512444699,0.0203620446885898,3.83276502593642,5.58636724366733,3.57350922263351,5.78801740494969,4.47881398313191,4.48217989146293,9.61175762785264,9.71544530066505,8.72291264207016,-129.470269470628,1
318,0.709680094566391,-6.35959319707626,0.0406020125096048,0.481537231300856,0.0111173158126412,0.010720779070383,0.0538176981106637,0.0160125349890846,0.0802915209445761,0.339506997296071,0.20437595249733,0.294786823836322,0.32422904312906,0.13243555840651,0.351305566535775,0.214522504405709,0.224651337045693,0.474721574165743,0.177241643164875,2.37212769405897e-05,0.00290515584880028,0.00283571049727612,0.0204417614160332,0.00770353946064526,0.00620923974877482,0.0174262892089209,0.0331292372484559,0.0225627529452321,3.99553018018854,5.13919879482345,3.40301515200898,6.04077988513633,4.41827678055966,4.34629678625098,9.84699966521244,9.98482649178118,8.10949209455823,-133.550797000047,1
319,0.649827663957308,-6.34075679879055,0.0408437904071203,0.43291523307817,0.0125859248109539,0.0189938533597593,0.035721070031164,0.0185092762535682,0.0580615204933556,0.356457111116361,0.21196230656787,0.22736756257721,0.397166616913234,0.188032736237794,0.271706077666299,0.266592120218963,0.316294894629885,0.384445150283754,0.20094123442226,1.08677007960828e-05,0.00344381145043819,0.00775437500953067,0.0189354991315508,0.00577273881527441,0.00427510500931713,0.0161463116326808,0.025316135827719,0.0280154020720921,5.93628375647773,5.34238238063089,3.35628403465408,5.98839434076123,4.37356335881491,4.64815135311057,8.70220480507516,10.2936663350921,8.14088598265916,-134.06671295161,1
320,0.607689682084946,-6.28845327399371,0.0402380607819991,0.466130038647479,0.0124807575,0.0171438627996258,0.0425257274760933,0.0205609688254584,0.0469203045716574,0.334243950375402,0.203099229279992,0.243208058571032,0.38699694310696,0.171383602006046,0.254876724784452,0.225281032823323,0.28670376755665,0.362514880561812,0.210846577147236,1.69556343058273e-05,0.00545658738939623,0.00492010713787087,0.0171693983436009,0.00619292185457651,0.00528618167324026,0.0162828511050533,0.0257768212534252,0.0276873575597819,5.87293185447976,4.96075529378604,3.04895851213294,5.57397968332117,4.51619921450608,5.33646767881403,9.33767544062957,10.6782814552187,8.21404652393585,-125.932303447431,1
321,0.604619280507514,-6.31247303916979,0.0404770320744107,0.461351402855522,0.0115424241523782,0.016501649974208,0.0468011033574589,0.0191438211513815,0.0472243905132977,0.34405907464248,0.200812937635981,0.253437220962101,0.342708797371751,0.195380752459353,0.294087651948489,0.223884081125578,0.287467133352569,0.417281702391084,0.197248499244234,1.25580862569151e-05,0.00414160622940923,0.00561644879659133,0.0196610186412731,0.00724243107601769,0.00498038216846755,0.0158185332598285,0.0268608889524772,0.0284044996920324,5.94593656015795,5.61550794850191,3.00774796623182,5.96613489469761,4.55913868456922,5.21769553338289,8.55098361019057,11.5399588756675,8.76162495462855,-137.294289929543,1
