"PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_R","pCancerProg_S1S2_P","pCancerProg_S1S2_D","pCancerProg_S1S2_R","pCancerProg_S2S3_P","pCancerProg_S2S3_D","pCancerProg_S2S3_R","pCancerProg_S3S4_P","pCancerProg_S3S4_D","pCancerProg_S3S4_R","pSxDetS1_P","pSxDetS1_D","pSxDetS1_R","pSxDetS2_P","pSxDetS2_D","pSxDetS2_R","pSxDetS3_P","pSxDetS3_D","pSxDetS3_R","pSxDetS4_P","pSxDetS4_D","pSxDetS4_R","country"
0.260532450350123,0.24278692929086,0.36021977823369,0.247990128269271,0.261076020795416,0.401351245663335,0.516060798284267,0.543675726673569,0.644664732650357,0.22935885160479,0.21556136313696,0.302476991151089,0.21963235318071,0.229777635527391,0.330585109338252,0.403132896924606,0.419389838994195,0.475161526183027,0.0190031164161069,0.0201675792385704,0.0383497823955378,0.113357382655813,0.113315013672699,0.138190438559194,0.55593215949558,0.511385201884848,0.768872897550321,0.999089644790141,0.999613013352271,0.999997611261157,"Chile"
0.222267182602631,0.271663011026947,0.401218203161105,0.255401307132757,0.235339066997773,0.399040439143093,0.474677641230239,0.548047966287544,0.760855533720373,0.199298597732127,0.23788895916156,0.330496042781481,0.225394419166039,0.209697161416357,0.329036432386904,0.377914441118125,0.421922864208619,0.53273350628568,0.0187702376222111,0.0191760131588858,0.0374401760820619,0.114487864786402,0.0972123129571779,0.140810756074078,0.50503606473378,0.456841540700473,0.789904081598126,0.998865519436899,0.998762197071547,0.999999710624383,"Chile"
0.305279446809658,0.30618164745216,0.32287363801629,0.237732936120615,0.386181822076597,0.494711953589777,0.340720931032259,0.641275089007077,0.876935576239454,0.263082583605178,0.263747131149033,0.275934657079477,0.211586780326766,0.320353060372591,0.390253482701366,0.288742629627046,0.47337949226278,0.583944068168006,0.0331388948417539,0.0261888517851689,0.028503370817807,0.121904742713818,0.185835534227326,0.174198361538559,0.408343746476663,0.592973331955086,0.858810319501561,0.990896671766498,0.999776861130487,0.999999973967726,"Chile"
0.238745687214634,0.237142311984207,0.391852850166685,0.209882183663834,0.285413676845129,0.480887519687047,0.503292252408299,0.539037718539374,0.789512031915494,0.212384842490153,0.211120986908887,0.32419644897574,0.189320248337844,0.24829677222816,0.381765547003072,0.39546290884639,0.416690709891726,0.545933688900298,0.0171580187155845,0.0207570835895629,0.0354408059852948,0.106427822471087,0.123925421077166,0.160999573973211,0.582072348471256,0.443851818013226,0.815486121874444,0.99977666868702,0.99762055278362,0.999998979378481,"Chile"
0.235326670328178,0.240321579095652,0.399775790362133,0.229394054804631,0.239777081810077,0.430424241156658,0.511160672996489,0.568855101325003,0.694431240891291,0.209687364232461,0.213625061340164,0.329529644899843,0.204984807783919,0.213196765728302,0.349766819476228,0.400200995864664,0.433826721190142,0.500641618139314,0.0151824249830299,0.0198574216532964,0.0383783866351372,0.115846728420678,0.102967179366924,0.146999351024534,0.570494437513728,0.508195800024523,0.777904972246862,0.999807113247284,0.999572257930246,0.999995786248988,"Chile"
0.227848968555493,0.243775894083942,0.393139184684557,0.226720679517436,0.246793377867271,0.422116276032766,0.511233131637865,0.52329831097541,0.785463514225108,0.203755491287124,0.21633676184694,0.325065199539014,0.202856590321638,0.218697888836911,0.34434220232658,0.400244454911091,0.407437135379264,0.544091667194442,0.0173282957549002,0.0206813421505799,0.0375283766511426,0.108053887991564,0.105420683246167,0.150244901597577,0.555057960507457,0.457783214433118,0.811543966382755,0.999669860789099,0.99863180514751,0.999998877559707,"Chile"
0.226928917095729,0.245986626446644,0.36520167617137,0.258345566910494,0.308798638355259,0.440332951621962,0.488264157873744,0.499031755107448,0.842480173985072,0.203022568252801,0.218067317926003,0.30594333792807,0.227671705115501,0.265671379241113,0.35617797619392,0.386309259611666,0.392881785671448,0.569358867094757,0.0181301409235959,0.0208038038268166,0.0360627728825767,0.112218956471922,0.142235660806556,0.158345946543935,0.545769118483384,0.472407755762745,0.835039897891149,0.998858315610424,0.999034629182816,0.999999467492584,"Chile"
0.299222501252778,0.297043559148295,0.344259188840438,0.226925363134535,0.39842287550244,0.477852883321414,0.493208951843073,0.618703870918849,0.768550866800321,0.25860557010784,0.256988353297469,0.291254794606844,0.203019735820903,0.328621941709331,0.379886580701739,0.389336343562609,0.46135786492039,0.536315477683955,0.0325845039046003,0.0232434285997943,0.0311759630007381,0.122015769477823,0.182174736541813,0.163820138422292,0.567823772949098,0.560320297510753,0.832860833014497,0.999780175457516,0.999870473303772,0.999999982722349,"Chile"
0.301821317724119,0.252511248235551,0.388325665046097,0.250787060164861,0.278036325222885,0.395274550070271,0.514648029319298,0.595960004606799,0.730803256507862,0.260529816699131,0.223152525373213,0.321808555951409,0.221811938845177,0.242730686961867,0.326504894265332,0.402289065676222,0.448966682655184,0.518477951014999,0.0155841433637855,0.0204110764192009,0.0365159822898636,0.108291164762505,0.120209545890852,0.13633545262174,0.542892837311432,0.510483623802453,0.776910603247431,0.999080684831943,0.99884964759902,0.999995080695081,"Chile"
0.207407476216358,0.249966027296878,0.392979942157256,0.24026317682985,0.247186114959092,0.426220251963012,0.498824801315607,0.556451730472338,0.790507047512757,0.18731156869678,0.221172758511371,0.324957712657611,0.213579133920857,0.219004674908805,0.347027492195275,0.392756127252603,0.426760532356317,0.546385267261021,0.0159072566145478,0.0199389957656393,0.0342767033922725,0.105517034208267,0.10823892978385,0.145423663271735,0.549255681559865,0.494807573779669,0.799979180126926,0.999707405963206,0.999444080255654,0.999999325482316,"Chile"
