date,2026-08-26_05:52
model,SimCRC v0.14.0.2
risk_scenario,Base
population,TOTAL
adherence_fucol,0
screening_startage,50
screening_stopage,70
stoolorbloodtest_type,NA
stoolorbloodtest_interval,NA
structuralexam_type,COL
structuralexam_interval,10

age,n_alive,n_alive_nocrc,n_pos_fit,n_pos_sdna,n_pos_srna,n_pos_blood,n_pos_sig,n_pos_ctc,n_pos_scrcol,n_neg_fit,n_neg_sdna,n_neg_srna,n_neg_blood,n_neg_sig,n_neg_ctc,n_neg_scrcol,n_pos_fucol,n_neg_fucol,n_pos_survcol,n_neg_survcol,n_adn1to5_scr,n_adn6to9_scr,n_adn10plus_scr,n_ssp1to5_scr,n_ssp6to9_scr,n_ssp10plus_scr,n_lesion1to5_scr,n_lesion6to9_scr,n_lesion10plus_scr,n_CRCstageI_scr,n_CRCstageII_scr,n_CRCstageIII_scr,n_CRCstageIV_scr,n_adn1to5_surv,n_adn6to9_surv,n_adn10plus_surv,n_ssp1to5_surv,n_ssp6to9_surv,n_ssp10plus_surv,n_lesion1to5_surv,n_lesion6to9_surv,n_lesion10plus_surv,n_CRCstageI_surv,n_CRCstageII_surv,n_CRCstageIII_surv,n_CRCstageIV_surv,n_CRCstageI_sym,n_CRCstageII_sym,n_CRCstageIII_sym,n_CRCstageIV_sym,n_CRC_dth,n_compl_dth,n_oc_dth,ly,ly_nocrc,ly_crcI_initial,ly_crcII_initial,ly_crcIII_initial,ly_crcIV_initial,ly_crcI_contin,ly_crcII_contin,ly_crcIII_contin,ly_crcIV_contin,ly_crcI_termcrc,ly_crcII_termcrc,ly_crcIII_termcrc,ly_crcIV_termcrc,ly_crcI_termoc,ly_crcII_termoc,ly_crcIII_termoc,ly_crcIV_termoc,n_3ormorenonlargeadn_scr,n_3ormorenonlargeadn_surv
60,907416,905026,0,0,0,0,0,0,92388,0,0,0,0,0,0,607225,0,0,789,3280,62524,21847,7663,0,0,0,62524,21847,7663,202,124,18,10,614,142,32,0,0,0,614,142,32,1,0,0,0,0,0,0,1,76,0,6432,904162.663060193,901461.733060277,205.383008716679,130.30899513239,21.6009665280049,12.2253075558447,1047.57867930299,779.738034154005,375.292859448776,54.0107774054814,25.9499918629831,24.7525307008652,8.17268304939872,6.83192902075677,4.17193060531281,4.85332338302396,1.52347454265691,0,0,0
61,900908,898249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,490,0,0,0,0,0,0,0,0,0,0,0,0,0,71,15,3,0,0,0,71,15,3,0,0,0,0,0,2,1,2,54,0,7095,897341.846281468,894715.179328814,0,0.93987281186002,0.538480027198965,0.169670617673546,1220.96699167895,887.272277109336,388.209893992902,59.8585078520245,25.498547494136,19.001482673914,6.48562983586547,5.50561567689957,6.49614884657785,3.77326950314455,1.47563811717555,0.483365499414504,0,0
62,893759,891164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,5,54,0,7577,889923.00193454,887355.407658692,0.426674950884625,3.5741507017992,2.28505421313413,1.67671709236409,1195.31243335847,862.373221880683,380.221936166048,55.2032618041736,18.2841857287099,21.4466644319943,7.61127215077552,5.41450480642261,7.37037259177305,4.39226360851899,0.915165703278035,0.748356985393912,0,0
63,886128,883581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2601,10705,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,537,101,0,0,0,1961,537,101,1,1,0,0,1,4,2,3,62,0,8226,881966.12192386,879452.024625768,1.575164205523,5.05079301162094,1.62235860973996,2.32135699081625,1167.131069309,837.844794553909,376.367826793196,51.968995974846,21.7629173913104,23.9194485887447,5.8500865203725,5.40691926888917,6.84512160904706,4.18312943982892,1.1004975750111,0.768277515191585,0,0
64,877840,875359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6611,22818,0,0,0,0,0,0,0,0,0,0,0,0,0,5078,1263,259,0,0,0,5078,1263,259,9,2,0,0,1,6,3,1,53,0,8991,873343.706722831,870877.267221738,10.3249340940391,7.10227988430869,2.27264544343894,1.8153721179464,1127.37768249633,817.016298200098,373.551493881056,49.5916695046625,30.9769409453069,17.7539869289028,2.00136437963526,5.88395231586605,10.3516100728884,8.12530243652873,2.59728873125277,0,0,0
65,868796,866358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661,5933,0,0,0,0,0,0,0,0,0,0,0,0,0,1356,258,44,0,0,0,1356,258,44,3,0,0,0,1,2,4,6,58,0,9760,863864.781654306,861463.488072633,3.98524488956267,2.96362205857294,1.69686885243013,0.246358358499052,1102.59011102971,797.296723396194,369.50491710946,50.4670284932452,27.1291680165181,19.572211850653,4.63578909592695,1.5778894080845,7.98333754413761,8.0287474989417,2.27656418969855,0,0,0
66,858978,856609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,258,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7,1,0,0,0,52,7,1,0,0,0,0,0,4,8,4,57,0,10680,853546.46248338,851203.313562776,0.687981859990572,3.77733068283837,5.22995697035171,1.43255903849548,1073.94851494674,773.651754608301,366.360955671977,50.204355456574,24.4887428565004,19.4849194819603,3.59150404973225,4.73012820978033,8.13809811603278,7.12367136450484,1.88441822119057,0,0,0
67,848241,845924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41292,157819,0,0,0,0,0,0,0,0,0,0,0,0,0,30384,8664,2130,0,0,0,30384,8664,2130,84,21,5,4,2,4,3,1,46,0,11688,842368.723290908,839966.322510669,84.663943265716,25.0712325364209,10.6166094655367,5.2350076862505,1037.18534771249,752.235048866261,366.995440943457,50.7032126475255,28.1870124112798,16.9992084165771,1.65695002678389,1.75236566514155,10.0961826043203,8.19482800830156,2.89907224755734,0.0011969490442425,0,0
68,836507,834133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8691,30525,0,0,0,0,0,0,0,0,0,0,0,0,0,6520,1766,387,0,0,0,6520,1766,387,14,4,0,0,2,1,7,9,49,0,12659,830081.117124494,827717.495214939,15.3362042378122,4.64640088647762,5.38841716131567,1.77240539783968,1086.8121206272,755.546004457654,372.173430073766,54.3192379873101,23.7782844400334,17.2862517956643,3.43608228152867,1.05675888151681,11.2588859109674,5.44214315130375,3.06978707434557,0.998803050955757,0,0
69,823799,821461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,8,56,0,13503,816968.948132817,814654.087293326,1.89861981280046,3.82266564602529,5.52064917389174,2.07346337230636,1060.57539523995,738.470203254831,368.753536661614,52.6701339309573,28.9607563713892,12.7871456368934,3.6723805529768,7.80498835266549,12.6121732536703,9.48271396849304,5.52480728575028,0.974193648202345,0,0
