date,2026-07-14_13:44
model,SimCRC v0.13.2
risk_scenario,Base
population,TOTAL
adherence_fucol,0
screening_startage,60
screening_stopage,60
stoolorbloodtest_type,NA
stoolorbloodtest_interval,NA
structuralexam_type,COL
structuralexam_interval,100

age,n_alive,n_alive_nocrc,n_pos_fit,n_pos_sdna,n_pos_srna,n_pos_blood,n_pos_sig,n_pos_ctc,n_pos_scrcol,n_neg_fit,n_neg_sdna,n_neg_srna,n_neg_blood,n_neg_sig,n_neg_ctc,n_neg_scrcol,n_pos_fucol,n_neg_fucol,n_pos_survcol,n_neg_survcol,n_adn1to5_scr,n_adn6to9_scr,n_adn10plus_scr,n_ssp1to5_scr,n_ssp6to9_scr,n_ssp10plus_scr,n_lesion1to5_scr,n_lesion6to9_scr,n_lesion10plus_scr,n_CRCstageI_scr,n_CRCstageII_scr,n_CRCstageIII_scr,n_CRCstageIV_scr,n_adn1to5_surv,n_adn6to9_surv,n_adn10plus_surv,n_ssp1to5_surv,n_ssp6to9_surv,n_ssp10plus_surv,n_lesion1to5_surv,n_lesion6to9_surv,n_lesion10plus_surv,n_CRCstageI_surv,n_CRCstageII_surv,n_CRCstageIII_surv,n_CRCstageIV_surv,n_CRCstageI_sym,n_CRCstageII_sym,n_CRCstageIII_sym,n_CRCstageIV_sym,n_CRC_dth,n_compl_dth,n_oc_dth,ly,ly_nocrc,ly_crcI_initial,ly_crcII_initial,ly_crcIII_initial,ly_crcIV_initial,ly_crcI_contin,ly_crcII_contin,ly_crcIII_contin,ly_crcIV_contin,ly_crcI_termcrc,ly_crcII_termcrc,ly_crcIII_termcrc,ly_crcIV_termcrc,ly_crcI_termoc,ly_crcII_termoc,ly_crcIII_termoc,ly_crcIV_termoc,n_3ormorenonlargeadn_scr,n_3ormorenonlargeadn_surv
62,893007,886816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,11,12,160,0,7570,889150.229555612,883040.250658586,2.48113985684751,12.3970485786814,15.4761944936119,5.97294424257169,2336.80935372021,2189.57837796679,1169.97800653965,193.529253065749,9.10587830113995,33.2632193955449,61.7367897982825,47.4517171931521,12.7199978700373,15.3262423200067,5.96866665547714,0.260708656627685,0,0
63,885277,879238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19587,77917,0,0,0,0,0,0,0,0,0,0,0,0,0,12855,4841,1821,0,0,0,12855,4841,1821,41,24,2,3,5,8,15,13,157,0,8306,880982.681822148,874950.967269159,45.0107267402566,31.5329783426064,14.7931742188197,8.42572927362055,2302.37268627728,2142.79081602355,1130.741325565,168.854048972284,18.6911776623612,45.2936449128242,48.7474537813325,34.4831341624075,18.2266296374146,13.7642195459921,5.4653798781801,1.84507178422064,0,0
64,876814,870864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,19,11,143,0,9040,872240.624451727,866353.418381483,3.99617497670731,11.2047626998463,14.417253884167,5.59996519725312,2305.64028197244,2100.65097947068,1107.33862649004,157.787177043617,23.7643333937307,60.8081831546349,33.6763433929619,25.8103519689016,17.9828559865709,13.0050173907075,5.24388714783984,0.132975948508829,0,0
65,867631,861807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,16,152,0,9853,862637.7026991,856887.165915874,3.39061461489516,16.328352090494,14.0359797689939,3.24637366049446,2260.17423653917,2036.47103252051,1091.82452045008,141.794639454088,31.9727674181051,61.2612394243549,20.2013280049811,22.7561842095736,18.4124548591208,15.1381193606649,11.6909808402415,0.667596411891282,0,0
66,857626,851952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,261,57,11,0,0,0,261,57,11,0,0,0,0,3,6,11,11,120,0,10733,852213.497713594,846613.668101547,4.05368829588693,6.41276581146521,8.60389525353085,8.25204285019014,2208.78723806956,1983.44354000456,1080.58437575259,133.880970341841,34.8105937924382,51.9946169260593,15.887475772471,15.2130352864109,20.2717279690968,16.625649165595,11.1449308448937,0.754432565532625,0,0
67,846773,841235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40233,134357,0,0,0,0,0,0,0,0,0,0,0,0,0,25720,10294,4087,0,0,0,25720,10294,4087,92,34,3,3,0,12,11,10,135,0,11543,840962.033683179,835365.638771096,92.0907059990996,43.0044158634665,14.2928255756679,6.12051677300596,2142.07479272239,1920.58264124072,1069.09407049949,128.37860455163,51.2357775776943,51.5077567789721,11.9877354834386,18.0709050265139,20.000885255402,18.5672397578601,8.38205015892163,1.57797102257609,0,0
68,835095,829577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12785,69393,0,0,0,0,0,0,0,0,0,0,0,0,0,10074,2219,482,0,0,0,10074,2219,482,7,1,1,1,0,10,13,17,134,1,12495,828706.248575674,823249.618183386,7,11.2967223825067,8.06815537091097,6.30428831523292,2163.16891419386,1894.8958304877,1060.35871067638,124.531438480577,47.4754875814199,49.3421781647371,16.2006400628471,11.5570783905169,23.5210969462059,20.3501880934928,10.4627588854637,1.4595723983366,0,0
69,822465,817083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,10,16,15,117,0,13502,815659.826907471,810342.481481788,2.59275677171182,10.2229537695693,15.0552144915812,7.52407039599986,2080.91130662271,1846.63646315341,1044.17944396458,124.144772401561,57.4444912018517,38.9931411660566,11.9281002755584,11.221117170637,31.8131163693033,21.5279250002932,12.9472145275213,0.633970121387392,0,0
70,808846,803596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,5505,0,0,0,0,0,0,0,0,0,0,0,0,0,973,240,52,0,0,0,973,240,52,1,0,0,0,7,13,22,11,131,0,14365,801652.203530239,796477.157400111,6.66529245215364,8.85263151028026,16.4788526127867,2.91238960719963,1993.98209680003,1783.16167536676,1034.38421733773,122.458799796798,55.8288500394,45.1427347376075,10.8871685973865,11.5063744662624,33.6931165549904,28.555006818613,17.0894486273173,3.0224021107424,0,0
71,794350,789255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,281,58,5,0,0,0,281,58,5,0,0,0,0,3,22,17,16,128,0,15472,786505.59371043,781488.247507511,3.81959351601424,15.6841348120353,15.6923706666694,4.41737751085692,1919.34189132662,1730.63717089016,1026.2104935692,118.955413201055,49.542763737559,40.9786150522019,8.22404800557547,12.9871554991476,31.7627341879997,20.614120834507,16.9989355083089,1.85998071078211,0,0
72,778750,773808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,26,20,108,0,16807,770360.958126275,765474.402986167,3.1660479004145,20.0493078171582,13.8326127991471,4.34171432218716,1846.66398618215,1690.494832595,1016.64425846687,116.384258998209,50.9225877482898,31.2564649191726,9.94362413286672,8.28388205317923,25.5749109121971,25.4446903341606,18.8365269299182,3.74359210090441,0,0
