date,2026-04-07_15:06
model,SimCRC v0.13.0
risk_scenario,BASE
population,TOTAL
adherence,PERFECT
stooltest_type,NA
stooltest_startage,NA
stooltest_stopage,NA
stooltest_interval,NA
structuralexam_type,COL
structuralexam_startage,55
structuralexam_stopage,85
structuralexam_interval,10

age,n_alive,n_alive_nocrc,n_pos_fit,n_pos_sensa,n_pos_sdna,n_pos_sig,n_pos_ctc,n_pos_scrcol,n_neg_fit,n_neg_sensa,n_neg_sdna,n_neg_sig,n_neg_ctc,n_neg_scrcol,n_pos_fucol,n_neg_fucol,n_pos_survcol,n_neg_survcol,n_adn1to5_scr,n_adn6to9_scr,n_adn10plus_scr,n_CRCstageI_scr,n_CRCstageII_scr,n_CRCstageIII_scr,n_CRCstageIV_scr,n_adn1to5_surv,n_adn6to9_surv,n_adn10plus_surv,n_CRCstageI_surv,n_CRCstageII_surv,n_CRCstageIII_surv,n_CRCstageIV_surv,n_CRCstageI_sym,n_CRCstageII_sym,n_CRCstageIII_sym,n_CRCstageIV_sym,n_CRC_dth,n_compl_dth,n_oc_dth,n_ovrdg_crc,n_ovrdg_adn,ly,ly_nocrc,ly_crcI_initial,ly_crcII_initial,ly_crcIII_initial,ly_crcIV_initial,ly_crcI_contin,ly_crcII_contin,ly_crcIII_contin,ly_crcIV_contin,ly_crcI_termcrc,ly_crcII_termcrc,ly_crcIII_termcrc,ly_crcIV_termcrc,ly_crcI_termoc,ly_crcII_termoc,ly_crcIII_termoc,ly_crcIV_termoc,n_3ormorenonlargeadn_scr,n_3ormorenonlargeadn_surv
61,900337,897330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,719,0,0,0,0,0,0,0,200,14,7,0,0,0,0,0,15,18,9,86,0,7018,0,0,896834.673457256,893854.132400939,1.44035843417338,20.5815673946352,14.3882331856452,5.3102540357871,940.401552224586,999.003267853849,796.022469683234,107.006666591401,24.1738372413342,32.9035608042656,19.4532840439394,10.1132506247069,3.34825315396301,3.0192273594439,3.9584989126306,0.485407548956573,0,0
62,893233,890284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49670,136178,0,0,0,0,0,0,0,40380,5814,3387,48,34,6,1,2,12,17,12,96,0,7631,0,0,889429.677246275,886422.010035137,49.2189938529389,47.0663567603208,19.7468876676485,3.31885249791882,911.277360020068,981.339028653623,792.420640325855,106.315314227109,27.3711490929399,31.7919017935801,12.908864280982,5.2063810499621,3.19340154575184,6.45390480128117,5.45150088332593,1.5108512036968,0,0
63,885506,882535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8931,34476,0,0,0,0,0,0,0,7896,744,286,3,2,0,0,4,19,13,12,72,0,8230,0,0,881371.64197375,878419.712744002,4.97291183650732,15.2181385132563,12.8688449916092,4.10157459345716,927.457128406728,1004.69679627165,798.447172894281,104.846977060437,30.8720788487328,19.8501125760861,12.2201093776549,7.54445902720386,2.16714661754668,4.00724472058937,2.71219065762125,1.18755872314796,0,0
64,877204,874263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,18,18,27,68,0,9123,0,0,872628.130900803,869699.66554125,4.17860409796517,18.2693890753773,14.4650346235979,8.61865946048983,897.711994863818,1001.44636505101,797.584496590898,101.343481821137,30.2101011710797,10.9744426603312,7.72647399842181,13.7671111147606,4.50794420833699,8.04723271401599,6.82271461980417,0.812441276852041,0,0
65,868013,865091,0,0,0,0,0,113987,0,0,0,0,0,516554,0,0,2064,5131,90856,13799,9081,147,73,26,5,1771,202,89,2,0,0,0,1,2,3,2,82,2,9741,0,0,863110.21745107,859980.036283319,149.951688464509,81.6179186316707,34.9245911540377,8.38359146165833,868.286829174842,999.48064092343,797.365705240269,99.6302740779842,27.0256615807828,13.2060625415654,9.32919108100236,21.7064177641414,6.80104728392325,7.87099620979279,8.41403147997335,0,0,0
66,858188,855106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,806,0,0,0,0,0,0,0,224,12,6,0,0,0,0,1,0,5,3,55,0,10531,0,0,852872.799698651,849827.470062741,0.742545584362659,0.791394252830571,3.06791365450891,1.5740410528449,977.143234839817,1058.53146662481,815.28424834648,100.425671984799,31.086442686587,13.7202871666281,9.52538901791809,6.44509214187788,10.0088401129469,8.84680576366372,7.82836372614838,0.307898953557014,0,0
67,847602,844593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,2,60,0,11733,0,0,841705.159587772,838737.279688276,1.98543501399762,2.02826178016407,2.64618879689733,1.54986898192952,935.072525626724,1026.31947014878,805.70224444883,99.9570951824889,31.9125900644312,18.4929245890972,7.41372996955546,1.73380829332972,10.9006647330243,14.5104661397636,5.23618758260272,0.692101046442986,0,0
68,835809,832883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4651,12655,0,0,0,0,0,0,0,3939,459,249,2,2,0,0,0,9,5,7,61,0,12626,0,0,829430.658722311,826538.60077402,3.72688207195451,8.56284256163626,1.95177982488498,0.0440120284877565,899.263989939124,1004.80276461548,795.34475263979,99.4690785979678,25.6688560795378,13.3878979172339,7.68202150639382,3.22141182327078,12.1251146220602,10.1570693962276,6.31977352988906,0.351455345982686,0,0
69,823122,820258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13284,30004,0,0,0,0,0,0,0,11331,1299,640,7,7,0,0,1,8,6,5,44,0,13618,0,0,816315.783104559,813466.772100959,7.17132006421882,14.8544118627674,6.8505715524736,3.40882070571149,873.404420493118,996.032430919853,778.879870416409,95.5055824525305,19.2939813182059,10.2730640679961,8.03905420219617,5.4090444145598,10.2924701997545,7.45534398197196,10.8653731853701,1.80007055355236,0,0
70,809460,806636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3413,8113,0,0,0,0,0,0,0,2968,300,140,5,0,0,0,3,5,4,14,54,0,14464,0,0,802182.069142319,799378.752948899,7.17993857152452,6.62608355548998,4.55181024544683,2.96456341603444,853.428440189709,984.317530911878,774.264926434765,94.6814206871074,16.3164574614841,16.241910115895,3.78686331198543,7.45224420502301,10.8308429061435,11.7734398813918,7.36461339099333,1.08193732169457,0,0
