"id_draw","IndividuakRiskMultVariance","alpha_lesion_adenoma","beta_age","AdNaturalHistoryPropensity_Gaussian_Variance","AdGrowth_Exp_Rate_1_to_6_P","AdGrowth_Exp_Rate_1_to_6_D","AdGrowth_Exp_Rate_1_to_6_R","AdGrowth_Exp_Rate_6_to_10_P","AdGrowth_Exp_Rate_6_to_10_D","AdGrowth_Exp_Rate_6_to_10_R","PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_R","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Shape_R","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Rate_R","pSxDetS1_P","pSxDetS1_D","pSxDetS1_R","hr_SxDetS2S1_P","hr_SxDetS2S1_D","hr_SxDetS2S1_R","hr_SxDetS3S2_P","hr_SxDetS3S2_D","hr_SxDetS3S2_R","hr_SxDetS4S3_P","hr_SxDetS4S3_D","hr_SxDetS4S3_R","alpha_lesion_ssp","beta_age_ssp","hr_SSPGrowth_1_to_6_P","hr_SSPGrowth_6_to_10_P","hr_SSPGrowth_1_to_6_D","hr_SSPGrowth_6_to_10_D","hr_SSPGrowth_1_to_6_R","hr_SSPGrowth_6_to_10_R","hr_SSPCancerOnset_P","lp__","chain"
115,0.77986071275847,-6.31134463882556,0.0303122536553344,0.414678997610156,0.0635869686791255,0.0637996951655445,0.0499642026069457,0.0185536722811454,0.0358611731583092,0.0489771587955113,0.0508721220978169,0.244842587800978,0.348602759005231,0.101612996882488,0.143136097837521,0.414951068070049,0.2140396049791,0.370804074530218,0.775259892794272,0.0316201999210344,0.019136753910293,0.0583817956726343,0.00161605270633116,0.00434545143896345,0.00110227901226101,0.00736489698268439,0.0581152651626973,0.14152680770889,17.393713320545,2.44964849119315,2.28649193854086,2.93699155708283,2.93623136614613,3.2186271750493,2.7574322109883,1.69937265405045,1.44638856052695,-6.14703918724815,-2.51360304685602e-05,2.20021218468504,2.43968976292352,1.54156138590004,2.2656939227317,2.48137319761675,1.77297426274508,1.69148675403752,197.863458004083,1
116,0.767894594065396,-6.251406729403,0.0308707111836813,0.468701563720991,0.0522943451919045,0.0479039826649933,0.0615438865326945,0.0164262300679495,0.0405582282892275,0.0292328465325836,0.233738796818489,0.1221690771738,0.153155736213992,0.069874091907228,0.298081618579613,0.299196935471773,0.314594556903893,0.5675355570539,0.216096386439792,0.0341204121813189,0.0158138420769849,0.0651291576922965,0.00110217708193631,0.00486404165262292,0.00101739081393544,0.0318659595204251,0.0329028120263555,0.0681199220774765,2.12452607624944,9.30129266099465,3.67308124670717,6.23951310575334,2.47475112588568,1.00581184302351,1.25372963892075,3.19367416831832,4.82217715028271,-5.88007626091264,-0.008732639271152,1.95836852583152,1.66574389908813,1.93158576179091,1.7096267022912,1.1401974477804,2.40486749169163,1.11121131699143,194.367130621863,1
117,0.759311187989445,-6.20596190329572,0.0286669368705417,0.476423688260503,0.0571532120617292,0.0594447451325969,0.0546046668957542,0.0148571960276492,0.0327441234706509,0.0488858452089875,0.0935075065089808,0.221266285257968,0.332117398621293,0.10795477389692,0.157408739414343,0.436476536635833,0.28379680929885,0.569166748301097,0.651487961072485,0.0297105348489495,0.0172196526981357,0.0591310394284945,0.00168394239954011,0.00490584060688487,0.00105744482929103,0.0136488454359813,0.0510721970005072,0.137602188086967,9.08483090511306,3.11310121694561,2.63393171086105,4.03749318644381,4.0273178202664,2.73534313811211,3.50029431498421,1.24281940823644,2.05671522306568,-6.32657397288553,0.00477283480276161,1.93501408283782,2.45008064538403,1.50290925284089,2.25531658930284,2.49019120073928,1.82482472958703,1.54156240701233,198.492684951639,1
118,0.767612956751824,-5.98385491744962,0.0242479472548711,0.414380218280553,0.0465520174515921,0.026178612023896,0.0565890608676782,0.0163892284879446,0.0361362588267743,0.0587746647847244,0.213008663713098,0.116051709197647,0.29508447435557,0.0886751516397865,0.34380362965642,0.424943798544804,0.389167423011083,0.42413789043566,0.435369461337285,0.0428440176994107,0.0245220822624012,0.0559731173243654,0.000422599287197564,0.00459789737984279,0.00109277458870622,0.0267511318467471,0.0275234750873671,0.113326888025334,3.18751167973256,12.2931947536005,2.84684745780475,5.85835316652248,1.51374598045904,1.79881922451268,2.44359586116172,2.95929668662448,4.43383425978126,-6.0106153782183,-0.00391196083792843,2.29154956518464,2.4128068803073,2.34910496017345,2.43971853994968,1.59986617888326,2.25816138778978,2.04656928537987,202.195522580534,1
119,0.744341088730877,-6.03561125329757,0.0240909493338542,0.327684352393151,0.0410276932040727,0.0291854399773207,0.0480046710356978,0.0167625765458671,0.0250756600790764,0.0646257954966786,0.210782724920101,0.127229471170511,0.186587019122696,0.0891708993348805,0.341734723193143,0.448041004683059,0.355711511630029,0.499455083138696,0.680208076271984,0.046070581881207,0.028051252904207,0.0592652818804275,0.000377801773988061,0.00486969371349533,0.00110924085703621,0.0253695030623872,0.0302787580547944,0.074841788629931,2.80833561548427,10.6922751902696,4.63877363863149,5.76090152167613,1.8153832344343,2.30852650192093,1.15715227763445,4.90355497209742,4.93771960258136,-5.78564447029302,-0.0111299507472251,2.47490052345292,2.44835670077062,2.1994153240551,2.49609216865313,1.12278750590773,2.12069503970462,2.43805199455858,190.053864363208,1
120,0.791757388370786,-6.35387426259115,0.0308182937918625,0.377890140515596,0.0508078259332403,0.0455579131630262,0.0466483254897688,0.0198557507996233,0.0367625723054208,0.0564157590356382,0.253723963191667,0.108989128405818,0.239789729126684,0.064853173780553,0.338900503516121,0.354021030243668,0.261903272124239,0.579524373642104,0.27358900008508,0.0347055533080639,0.0206332964116053,0.0617478841556385,0.00104149341005341,0.00492665131671525,0.00111088032987681,0.0323384934159131,0.0279476470136183,0.0935852238235605,1.8826731875783,12.6827027299751,3.03112382555293,6.17760631972731,2.21190152335061,1.1950822650741,2.6310752604804,3.80596624860729,4.7502605032321,-6.12788264114948,-0.00127576799279542,2.10145009809717,1.84709230844796,2.36211650605957,1.67390389352805,1.91177461801841,1.85242774460662,1.09834599320148,206.393709896206,1
121,0.799161718133979,-6.12581426779603,0.026792599180413,0.318302651332259,0.0378254141196881,0.0240346842587281,0.0398257049304587,0.0154136867241689,0.0669715813821607,0.064256889532156,0.241109394443826,0.0996592383700268,0.170190406381736,0.0691921244606453,0.275451706850402,0.423723289403967,0.198617653064248,0.235938903915794,0.375347571560317,0.0359337996921801,0.0242699240640815,0.0635835937266793,0.00125762205705214,0.00467712100468672,0.0010464630417773,0.0273860400076267,0.0223112486055261,0.0764285215172374,2.06523056718235,11.7767187848496,4.73795620626707,4.14873286108007,1.33898817482998,1.36738698983192,3.67561399833815,4.6287847560986,4.28881100130527,-5.60753517113878,-0.0156848075888144,2.44284934340282,2.30043161541515,2.24682966338123,0.729650878444021,0.840963245487151,2.29122855833347,1.20749453329682,200.455028888803,1
122,0.79522884627603,-6.48684697968937,0.0349386210476193,0.479884356652771,0.0556031413919409,0.0480767522389926,0.0656400880168328,0.0149373735766254,0.0584116128789603,0.0329513713959668,0.227498859399793,0.117298961278373,0.182672209847389,0.0606910789453306,0.274815176926202,0.423556302946185,0.202626072945356,0.537716761760394,0.627557239752351,0.0347524030411145,0.014290092962295,0.0592693295419043,0.00125357229598476,0.00490131083979072,0.0012473239796593,0.0267968808597774,0.0315161685365592,0.0869070355824504,2.16810563674551,9.7801112988515,4.74150110366793,4.86101427842514,2.38650481927099,2.23250779069446,1.29819931614568,3.65504891082313,4.76865262490524,-5.7956610323509,-0.0111590957430232,2.29516998551092,1.90130793780121,2.08590108321268,1.08510841248815,0.977055129586592,2.41461571722645,1.12385992472941,202.032702355444,1
123,0.712476975177951,-6.15395419264236,0.0278612803876332,0.385359811662684,0.0508967708722751,0.0405929473493583,0.0482968915470778,0.0142072945207707,0.0583934740891982,0.0453562136303274,0.196678772506853,0.105441215373965,0.279132726887459,0.0748753160735042,0.260417234650852,0.304210020863737,0.274751209879503,0.62718044112747,0.297716748403152,0.0372307455548275,0.0197186638805195,0.0617659062089166,0.00115382595105175,0.00482420155505084,0.00114585279330046,0.0245744328462283,0.0234127949425276,0.110833429932585,2.70247309696184,11.3952580086486,2.62579787309074,5.72779985750291,3.0211759361229,1.57340397663911,1.6502028674769,3.12664556879143,4.61062022060591,-6.24623148978177,0.00143530358507862,2.02836848946184,2.49144027150876,1.98768856047979,1.09646906455683,1.16709396393022,2.47962753846787,0.973220826008413,203.391650030447,1
124,0.788914600366392,-6.32806493602845,0.0317922902327511,0.397351547708124,0.0499506538739273,0.0601396836305092,0.0490046921450077,0.0170543975549268,0.0320805754314196,0.0460822568696078,0.252912264493885,0.096907170713831,0.157556069192705,0.0600811451860629,0.349297931283207,0.320778295079081,0.292848991789021,0.615831620195645,0.418938238456168,0.0301753255323739,0.0171666526614745,0.0596513123921856,0.00148231811745027,0.00496304782133987,0.00120774659545922,0.0322593302800114,0.0266944595538752,0.0665017640171027,1.97214085410332,13.1002839993553,3.84361760684939,6.23020109218915,2.55608768737244,2.06553047982579,2.26191664075364,4.7491008223912,4.98557360633002,-5.88696658652557,-0.00946394854050112,2.41392925632465,1.97710019395624,1.36731761944237,2.36078594843642,1.5955427020399,2.39489966603916,0.992516395863694,195.47376578591,1
