"id_draw","AdGrowth_Exp_Rate_1_to_6_D","AdGrowth_Exp_Rate_1_to_6_P","AdGrowth_Exp_Rate_1_to_6_R","AdGrowth_Exp_Rate_6_to_10_D","AdGrowth_Exp_Rate_6_to_10_P","AdGrowth_Exp_Rate_6_to_10_R","AdNaturalHistoryPropensity_Gaussian_Variance","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Rate_R","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Shape_R","IndividuakRiskMultVariance","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_R","alpha_lesion_adenoma","beta_age","chain","hr_SxDetS2S1_D","hr_SxDetS2S1_P","hr_SxDetS2S1_R","hr_SxDetS3S2_D","hr_SxDetS3S2_P","hr_SxDetS3S2_R","hr_SxDetS4S3_D","hr_SxDetS4S3_P","hr_SxDetS4S3_R","lp__","pSxDetS1_D","pSxDetS1_P","pSxDetS1_R","lp__.1"
24,0.0228955468886946,0.0595757709967574,0.0595809143239107,0.0504414314896697,0.0256054648942391,0.0653171616311147,0.48343813653492,0.00127259482907725,0.00149223657405881,0.00194998810861133,0.0244096950282011,0.0201422802556682,0.0306354767491482,0.794599223656244,0.195586402818734,0.116015562460706,0.162774012245814,0.245442140923372,0.0985293980805865,0.150584217467788,0.601659146915114,0.370234206965708,0.683176691916153,-6.33293382619162,0.0353331186627843,1,6.98920284348525,6.09769940065528,4.61825911032828,6.5111828920903,11.1899704509507,25.9974319748008,1.0968548762166,1.00009151243226,1.07559751896209,123.037502430654,0.020780151829121,0.00870810536170097,0.0130874701156043,0.681111238744661
25,0.0404409410121628,0.0581672410569154,0.0595569370255916,0.0524892132697643,0.0276594067465575,0.0481755361448257,0.477860626793049,0.00103846976603626,0.00116766859963059,0.0018782441835753,0.0224145224191947,0.0207336231092516,0.0300275657518388,0.766014919908959,0.206347149428303,0.114416696915045,0.152849608826822,0.219867575488963,0.103911350203651,0.147304687374855,0.566600587874676,0.436119316885447,0.634811321852301,-6.28814197118844,0.0356479285009078,1,6.30762023663133,6.94485922434732,4.78550638019631,6.65866017857861,11.5210827092608,26.5737126692705,1.08015451753518,1.03710492736643,1.09700570492111,123.918826349641,0.0207510235709348,0.0088820909771698,0.0122589538023649,0.770348399288762
26,0.0211240686094744,0.0618885544179375,0.0595440767894097,0.0891258961449247,0.0267688081993956,0.0624287773386831,0.47840303704162,0.00105778845446703,0.00114753973878716,0.00201193325292694,0.0252583550844002,0.0217087167824919,0.03065787346298,0.796952230932872,0.195642827825916,0.144056908508719,0.14878883685679,0.223865076347725,0.112694001804841,0.166320403853075,0.633177433958886,0.421399521678353,0.699557550265859,-6.29429429873645,0.0342807499085526,1,6.82833997873974,6.88134867277583,4.89140983358605,6.6380265699074,11.3408413724302,26.3855054047935,1.09945675896138,1.04998942846577,1.06966259018386,124.647037495485,0.0204613110219726,0.00865513956316332,0.0131588823300562,0.84408235059957
27,0.0368895842413433,0.0547161272695503,0.0653677022808974,0.0484087450772068,0.0273109949717329,0.0550699262737509,0.491593859863294,0.00100503650968657,0.00113237866291195,0.00182110243763873,0.0238448580112558,0.0202670263567427,0.0312747048122524,0.790710900291717,0.191290442046824,0.175766784815984,0.156525868083278,0.243969660510557,0.10801336502842,0.130775940061065,0.634050388419663,0.418624199099814,0.543195527000671,-6.24284639505488,0.0342172076923783,1,6.94833471316923,6.41905991595211,3.63482822328249,6.90496361587299,11.894337831448,26.5004005071281,1.08519867958825,1.02789536902685,1.04017652380983,126.180067120747,0.0206601509179419,0.0088141401836816,0.0135890008426567,0.999307016401747
28,0.0386628120048299,0.0551830356488633,0.06558449010303,0.0477343803505696,0.0273720160186405,0.0643068690941142,0.494701907081246,0.00109321694309625,0.00111917350131894,0.0016362677094828,0.0246050970508383,0.0230972884880378,0.0326093989674407,0.792904008854564,0.186639318180049,0.154999443687216,0.152136154623504,0.234117500262654,0.099951204460264,0.171829966313759,0.572563983234906,0.409488917778795,0.662123020665073,-6.27505785088966,0.0335099094036242,1,6.34887875894313,6.95521215506693,4.88883702053777,6.31460060754841,11.3300181780619,25.5304813333467,1.09652099124508,1.05287206549771,1.00805535777583,123.697887920852,0.0207468521536979,0.00824947424468535,0.0132111910295444,0.747977602791012
29,0.0408686798232863,0.0612202837987752,0.0704228123355351,0.0480299809140526,0.0271500486485202,0.0651147795557856,0.468177234755286,0.00114801280540362,0.00106708806219763,0.0017730576419047,0.0220871416643147,0.021983622475408,0.0304209660698857,0.786138905340622,0.207001331690938,0.140385119253336,0.155830722537369,0.239023625350847,0.113874949084466,0.141192076600243,0.622919715064477,0.441805357131546,0.628953686578236,-6.27423288551884,0.0343670052740732,1,6.75602600471234,6.85542902148726,4.88890172824054,6.82161135791897,11.6150080720007,26.4358836512333,1.08298091579609,1.00470531306558,1.08054545977309,124.003786228654,0.0203187523991483,0.00892041634835085,0.0117336766177885,0.778950887204814
30,0.0401431096332688,0.0648642124662368,0.0675721722748354,0.0572695257350802,0.0277016226552303,0.0542439235307372,0.491896361375727,0.00107093555928116,0.00102065743969811,0.0019719146491819,0.0245926552126769,0.0230654852835925,0.0314008711842598,0.788339189718125,0.181100076767092,0.150551118839307,0.159306408460574,0.232452502055424,0.102424638530827,0.149883031087212,0.53902003590633,0.43562731150492,0.665253233990612,-6.36659177821036,0.035175106193723,1,6.69722098513645,6.38350674845849,4.59002985103334,6.21786961807994,11.941669877823,25.1468491986254,1.09714367995987,1.00206863038229,1.02784818971057,126.175403277483,0.019008056067734,0.00885986087453171,0.0132517114174785,0.998834785793748
31,0.0405753326514551,0.0609227476377334,0.0665203962498232,0.0479231787109109,0.0246819771433603,0.0553963816575785,0.461137302988355,0.0011152508747805,0.00112745382797465,0.00186763080806647,0.0228013974505996,0.0227769989785519,0.0310851532579685,0.786903463213538,0.193654072358541,0.139653340925701,0.152828896388926,0.225945075322095,0.108697215300641,0.141510799729691,0.645114599610015,0.435276638421867,0.656888413386277,-6.2898512796927,0.0350018704912367,1,6.29914452611008,6.56925671635613,4.64598259845018,6.79080409027747,11.3550069213609,26.7702690707357,1.08770941795655,1.00925809510467,1.03645631625943,125.914087031139,0.0206348303025259,0.00895325688897795,0.0119688134347489,0.972375592612419
32,0.0414515931986956,0.0543883013516606,0.0650628090418783,0.0506383117997166,0.0264263447260214,0.0545664725425784,0.456964173488339,0.00109078522533212,0.0010851404386255,0.00163635952403845,0.0203750874744307,0.0195972761641812,0.0303305222886797,0.799578168390038,0.201122389171195,0.193402337457839,0.16322086240552,0.225293239823268,0.0987792169398258,0.133448384947592,0.64117459960115,0.399212485236477,0.606178195502644,-6.26145113728236,0.0360116398484108,1,6.61942281942526,6.38023764181767,4.43595815298579,6.72606123200676,11.1557862187951,26.330900198404,1.08533682847717,1.02171732490431,1.0511330843439,123.939408342374,0.0207977604469792,0.00898518023883958,0.0124628833988154,0.772432398769768
33,0.040845041402746,0.0664130536069989,0.0750845933117286,0.0492771975300422,0.02468768120237,0.0636447431310439,0.497103316485868,0.00100871056625812,0.00105060401064577,0.00163172022223044,0.0222809439975385,0.0218733274412383,0.0302374611371421,0.791671142998405,0.223955523533412,0.142480273507937,0.150865398138459,0.24518221613063,0.0949965412093841,0.150219259190999,0.602854577239323,0.383383895911917,0.662693325831287,-6.23740746184408,0.0343967826646767,1,6.93611373250767,6.11072951867171,4.55588854515061,6.61718227761774,11.1373242735302,26.1295684796444,1.07813094741015,1.06611923249125,1.00440539355351,122.033566275478,0.020808308944084,0.00899440788624226,0.0135685308126178,0.579459156093444
34,0.0384039471619645,0.0576006502703636,0.0764205953730207,0.0548404304037854,0.0263545573701895,0.0547376841820627,0.48974930230069,0.00100908518812745,0.00121820062912816,0.00154744027861851,0.0228804397942534,0.0201486001827647,0.0303653750543196,0.770438368276462,0.205725991323187,0.143985832766968,0.16525679548048,0.234152003085334,0.105556622814497,0.144984419661389,0.586744097388763,0.41575770329568,0.622064389182243,-6.30475339062336,0.0357212544660576,1,6.86527485454177,6.64229929875134,4.2174758686339,6.68167583468897,11.5868469619379,25.3872027031075,1.09326598826187,1.01928786423559,1.07085989049572,112.473648078208,0.0202801084809642,0.00895352907842353,0.0136857654226247,-0.388516336887842
35,0.0211436713397034,0.0604915790227202,0.0684373389655698,0.0841550688073862,0.0257692505277822,0.0605763857266837,0.485465025219451,0.00110021445563124,0.00100489111931025,0.00160700674623544,0.0257834717587597,0.0242542228677244,0.0322018647926575,0.79572531289901,0.186540750629352,0.130141503753743,0.153564528201434,0.230127859858869,0.102013661620206,0.179979784710346,0.61988992516403,0.439372982287735,0.735751002800876,-6.24393332042148,0.033014007515538,1,6.85748667607169,6.70967323617661,4.84791170347108,6.59216234389397,11.7777417806315,25.4157787732006,1.09630721197473,1.02896076158008,1.03398177765958,123.155143839542,0.0198177819467822,0.00893504889178574,0.0137730892585809,0.69302284702554
